dataset,label,pair,variable,score,ttest_pval,odds,ci_lo,ci_up
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-1,0.6468295363387377,0.9897435897435898,0.8510914802227475,1.1495422304436511
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,1,0.6202541382173252,1.019397636306236,0.902876314482324,1.1524084027092418
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,2,0.9601423851403866,0.9406420691734242,0.798770843882962,1.1054330155773822
df,F/M,"('TFemale', 'TMale')",cite_likelihood_num,3,0.6086136242729567,0.7610037021801727,0.5818940517560478,1.0001956877176055
df_cred,F/M,"('TFemale', 'TMale')",credibility_num,-2,0.4994576651225702,1.0673430708459646,0.9250411490038323,1.2334808085985745
df_cred,F/M,"('TFemale', 'TMale')",credibility_num,-1,0.5177277699358958,1.0166174913053148,0.9070067879070709,1.139219901241491
df_cred,F/M,"('TFemale', 'TMale')",credibility_num,1,0.7469093074624649,0.9115202511450774,0.8068046478739956,1.0345370644635639
df_cred,F/M,"('TFemale', 'TMale')",credibility_num,2,0.4978671742690561,1.103359274050495,0.8740773736750674,1.3902629814497502
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,-3,0.8834032643046011,1.0587234690768763,0.8245141816064305,1.3541066173242293
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,-2,0.9610116391421246,1.1056179775280899,0.87627995996728,1.3989301581544191
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,-1,0.9237575749250198,1.005596362364463,0.7727611434764937,1.3211199926073096
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,1,0.7203926802987244,1.0851712595717364,0.8887495505083044,1.3237289898016187
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,2,0.9336811563458137,0.8046069014585557,0.6280627804130346,1.0303614540056816
df_est,F/C,"('TFemale', 'Control')",cite_likelihood_num,3,0.9560007525064242,0.8175740210124165,0.5507079153000678,1.2186897880539498
df_cred_est,F/C,"('TFemale', 'Control')",credibility_num,-2,0.5238805778710361,1.0383785080355,0.7795577549690452,1.39880685288192
df_cred_est,F/C,"('TFemale', 'Control')",credibility_num,-1,0.8558882953665696,1.022129416282642,0.8275212451858949,1.2611532962997662
df_cred_est,F/C,"('TFemale', 'Control')",credibility_num,1,0.8102594059266404,0.9500301490223104,0.7607951918631531,1.1903101891865935
df_cred_est,F/C,"('TFemale', 'Control')",credibility_num,2,0.4685069354704074,1.0132611184008486,0.6860109701461291,1.5440375302663438
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,-3,0.8792424857173999,0.9734899595205968,0.759945338597024,1.2561218161209609
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,-2,0.8318243755388323,1.1563127266593574,0.9135173606603777,1.4681453490747167
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,-1,0.9771337603143044,1.0222222222222221,0.7851591784942084,1.346813495782568
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,1,0.8087739719823962,1.0062906493229555,0.8220994015957447,1.2391206619467485
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,2,0.9572552078616952,0.8525312855517633,0.6689595339902088,1.0905130866884796
df_est,M/C,"('TMale', 'Control')",cite_likelihood_num,3,0.8942322158784117,0.998250728862974,0.6737588652482269,1.4878564523466518
df_cred_est,M/C,"('TMale', 'Control')",credibility_num,-2,0.6282833050730954,1.114707198567958,0.834641731580697,1.49220326545588
df_cred_est,M/C,"('TMale', 'Control')",credibility_num,-1,0.7639415820709664,0.9576121164437451,0.7733887733887734,1.191417986102151
df_cred_est,M/C,"('TMale', 'Control')",credibility_num,1,0.8127113107545378,1.0381134897634852,0.8274018256941532,1.2968996829792467
df_cred_est,M/C,"('TMale', 'Control')",credibility_num,2,0.8857275159959881,0.8236385779736703,0.5460378323108385,1.2715389185977422
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-3,0.5926972900317667,1.0875545851528385,0.8669810348901971,1.3670578300623144
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-2,0.9125360138003178,0.9561582710606956,0.7669045661027569,1.1819616994989361
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,-1,0.6142488355549123,0.9837355718782791,0.772133652431317,1.2566081755230698
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,1,0.8415269147971214,1.0783875019626314,0.8968158733621807,1.2998586273651545
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,2,0.7864799329013001,0.9437857766566412,0.7488958436924157,1.193106212979046
df_est,F/M,"('TFemale', 'TMale')",cite_likelihood_num,3,0.9477751887170867,0.8190066857688634,0.5681654377113711,1.1793974732750243
df_cred_est,F/M,"('TFemale', 'TMale')",credibility_num,-2,0.6437436780597641,0.9315257938313165,0.7208217219580558,1.2007986948787375
df_cred_est,F/M,"('TFemale', 'TMale')",credibility_num,-1,0.52716789578988,1.0673731030873888,0.8833702182195341,1.2911550869083732
df_cred_est,F/M,"('TFemale', 'TMale')",credibility_num,1,0.6478392859321556,0.9151505672455494,0.744888023369036,1.1169497378582867
df_cred_est,F/M,"('TFemale', 'TMale')",credibility_num,2,0.551620471111267,1.2302254235027343,0.841856452726018,1.8027251010115906
